Original_Title,Cleaned_Title,Cluster,Cluster_Name
NYC Best Moments💀 #nyc #america #ranking #tiktok,nyc nyc america ranking tiktok,4,nyc / apartment / tour / la / penthouse
TOURING a FUTURISTIC New York Penthouse | NYC APARTMENT TOUR,touring futuristic york penthouse nyc apartment tour,4,nyc / apartment / tour / la / penthouse
"Marietta, GA Home Tour | Southeast Drone",marietta ga home tour southeast drone,4,nyc / apartment / tour / la / penthouse
"Inside Gossip Girl’s $10,000,000 New York Penthouse | Exclusive Home Tour",inside gossip girls 10000000 york penthouse exclusive home tour,4,nyc / apartment / tour / la / penthouse
i toured 14 philly apartments and this is how it went.,toured 14 philly apartments went,4,nyc / apartment / tour / la / penthouse
i toured 14 philly apartments and this is how it went.,toured 14 philly apartments went,4,nyc / apartment / tour / la / penthouse
"NYC APARTMENT TOUR: $16,500,000 Upper East Side Modern Duplex",nyc apartment tour 16500000 upper east side modern duplex,4,nyc / apartment / tour / la / penthouse
"132 East 65th Street #PENTHOUSE  -  Upper East Side, NYC",132 east 65th street penthouse upper east side nyc,4,nyc / apartment / tour / la / penthouse
"TOURING a $12.5M SoHo NYC LOFT | 131 Mercer Street, #PHA | SERHANT. Tour",touring 125m soho nyc loft 131 mercer street pha serhant tour,4,nyc / apartment / tour / la / penthouse
"Seattle apartment building plagued by drugs, crime from homeless camps",seattle apartment building plagued drugs crime homeless camps,4,nyc / apartment / tour / la / penthouse
"MANHATTAN EVENING, 5th Avenue Walking Tour 4K",manhattan evening 5th avenue walking tour 4k,4,nyc / apartment / tour / la / penthouse
$3200 NYC apartment #shorts #nyc,3200 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"Tour a $16,950,000 SoHo Penthouse Loft with 360 Views",tour 16950000 soho penthouse loft 360 views,4,nyc / apartment / tour / la / penthouse
Inside a Rare Gilded-Age Chicago Penthouse Apartment | Landmarked Ep 2,inside rare gildedage chicago penthouse apartment landmarked ep,4,nyc / apartment / tour / la / penthouse
How The Upper West Side Revolutionized NYC Apartments | Walking Tour | Architectural Digest,upper west side revolutionized nyc apartments walking tour architectural digest,4,nyc / apartment / tour / la / penthouse
"FULL TOUR Of My $6,000,000 Dream Home & Cars",tour 6000000 dream home cars,4,nyc / apartment / tour / la / penthouse
Inside a Rare Gilded-Age Chicago Penthouse Apartment | Landmarked Ep 2,inside rare gildedage chicago penthouse apartment landmarked ep,4,nyc / apartment / tour / la / penthouse
Flaws Exposed: Steinway Tower Penthouse Tour by Erik Conover,flaws exposed steinway tower penthouse tour erik conover,4,nyc / apartment / tour / la / penthouse
