Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
How Batman got caught LACKING in his crib.,how batman got caught lacking crib,"[0.02810291 0.02810291 0.52370565 0.02810311 0.02810291 0.19526238
 0.02810291 0.02810311 0.02810472 0.02810291 0.02810331 0.02810313]",0,video_sidemen_official
The Sidemen Argue They're More Talented Than MrBeast | Agree To Disagree,sidemen argue theyre more talented mrbeast agree disagree,"[0.03131679 0.03131704 0.39587303 0.03131664 0.29095685 0.03131688
 0.0313171  0.03131664 0.03131664 0.03131724 0.03131834 0.0313168 ]",0,video_sidemen_official
When BLACKPANTHER got BACK at KILLMONGER for his PRIDE,blackpanther got back killmonger pride,"[0.32719311 0.0345178  0.32762887 0.0345178  0.0345178  0.0345178
 0.0345178  0.0345178  0.0345178  0.0345178  0.0345178  0.0345178 ]",0,video_sidemen_official
When VAN HELSING put DRACULA in a coffin after becoming a WEREWOLF,van helsing put dracula coffin after becoming werewolf,"[0.02790367 0.02790367 0.69305959 0.02790367 0.02790367 0.02790367
 0.02790367 0.02790367 0.02790367 0.02790367 0.02790367 0.02790367]",0,video_sidemen_official
When KING KONG bodied 3 V-REXES for a SNOW BUNNY's love,king kong bodied 3 vrexes snow bunnys love,"[0.61972624 0.03457034 0.03457034 0.03457034 0.03457034 0.03457034
 0.03457034 0.03457034 0.03457034 0.03457034 0.03457034 0.03457034]",0,video_sidemen_official
POINTLESS: SIDEMEN EDITION,pointless sidemen edition,"[0.03123217 0.03123235 0.65644426 0.03123205 0.03123243 0.03123223
 0.0312324  0.03123205 0.03123205 0.03123251 0.03123334 0.03123217]",0,video_sidemen_official
THIS IS HOW THE WORLD ENDS!,how world ends,"[0.03139077 0.0313899  0.45496804 0.23112678 0.0313899  0.0313899
 0.03139027 0.03139022 0.03139354 0.0313899  0.03139053 0.03139025]",0,video_sidemen_official
TOP 10 SCARIEST PLACES IN THE WORLD!,top 10 scariest places world,"[0.73022712 0.02452474 0.02452474 0.02452542 0.02452474 0.02452474
 0.02452482 0.02452474 0.02452474 0.02452474 0.02452474 0.02452474]",0,video_sidemen_official
"Viewed 🔝 Cristiano Ronaldo ⚽ 17
◾ Karim Benzema ⚽ 16
◾ Ivan Toney ⚽ 16

The English striker is keeping up with the big boys in the Saudi Pro League 👏",viewed cristiano ronaldo 17 karim benzema 16 ivan toney 16the english striker keeping up big boys saudi pro league,"[0.61952865 0.08280785 0.01947537 0.01947593 0.01947537 0.01947537
 0.01947537 0.06682648 0.01947537 0.01947537 0.0750335  0.01947537]",0,video_sidemen_official
SPIDER-MAN Cooks LIZARD Verbally & Physically | Marvel’s Spider-Man 2,spiderman cooks lizard verbally physically marvels spiderman 2,"[0.03076022 0.03076022 0.45017413 0.03076022 0.03076022 0.03076022
 0.24222368 0.03076022 0.03076022 0.03076022 0.03076022 0.03076022]",0,video_sidemen_official
