Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Figma Tutorial: Prototyping (older version),figma tutorial prototyping older version,"[0.03454014 0.03454014 0.03454014 0.03454014 0.03454014 0.03454014
 0.03454014 0.03454014 0.03454014 0.03454014 0.03454014 0.62005849]",3,nyc_shorts_black
Top Lies You Still Believe,top lies still believe,"[0.19783906 0.03070753 0.03070753 0.03070753 0.03070753 0.03070753
 0.03070753 0.03070753 0.03070753 0.03070753 0.03070753 0.49508568]",3,nyc_shorts_black
make your audio sounds professional by using python,make audio sounds professional using python,"[0.02583048 0.02583048 0.02583048 0.02583048 0.02583048 0.02583048
 0.02583048 0.15368525 0.02583048 0.02583048 0.02583048 0.58800999]",3,nyc_shorts_black
Equalizer® Python™ Instruction Guide (Complete Version),equalizer python instruction guide complete version,"[0.02779343 0.02779343 0.02779343 0.02779343 0.02779343 0.02779343
 0.02779343 0.02779343 0.02779343 0.02779343 0.02779343 0.69427224]",3,nyc_shorts_black
Audio Data Processing in Python,audio data processing python,"[0.03458249 0.03458249 0.03458249 0.03458249 0.03458249 0.03458249
 0.03458249 0.03458249 0.03458249 0.03458249 0.03458249 0.61959259]",3,nyc_shorts_black
PyDub Tutorial: Audio Manipulation in Python,pydub tutorial audio manipulation python,"[0.03054336 0.03054336 0.03054336 0.03054336 0.03054336 0.03054336
 0.03054336 0.03054336 0.03054336 0.03054336 0.03054336 0.66402308]",3,nyc_shorts_black
Audio Data Processing in Python,audio data processing python,"[0.03458249 0.03458249 0.03458249 0.03458249 0.03458249 0.03458249
 0.03458249 0.03458249 0.03458249 0.03458249 0.03458249 0.61959259]",3,nyc_shorts_black
"Black and white image colorization using Python, OpenCV and Deep Learning",black white image colorization using python opencv deep learning,"[0.02429883 0.02429883 0.02429883 0.02429883 0.02429883 0.02429883
 0.02429883 0.15693095 0.02429883 0.02429883 0.02429883 0.60008074]",3,nyc_shorts_black
BANNED YOUTUBERS YOU WON'T BELIEVE!,banned youtubers wont believe,"[0.03050703 0.03050703 0.03050703 0.03050703 0.03050703 0.03050703
 0.03050703 0.03050703 0.03050703 0.03050703 0.24633138 0.44859834]",3,nyc_shorts_black
KOMO 4,komo 4,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.54166667]",3,nyc_shorts_black
How to Play Mp3 Files Using Python (Simple),how play mp3 files using python simple,"[0.02451011 0.02451011 0.02451052 0.0245103  0.02451011 0.02451011
 0.02451011 0.17273059 0.0245118  0.13168625 0.02451156 0.47498842]",3,nyc_shorts_black
