Original_Title,Cleaned_Title,Cluster,Cluster_Name
Native American Gets Revenge | Nimesh Patel | Stand Up Comedy,native american gets revenge nimesh patel stand comedy,4,Comedy
Tinder Date With A Cop | Nimesh Patel | Stand Up Comedy,tinder date cop nimesh patel stand comedy,4,Comedy
DATING INDIAN WOMEN | Nimesh Patel | Stand Up Comedy,dating indian women nimesh patel stand comedy,4,Comedy
MORMON SOAKING | Nimesh Patel | Stand Up Comedy,mormon soaking nimesh patel stand comedy,4,Comedy
BOEING INSPECTOR | Nimesh Patel | Stand Up Comedy,boeing inspector nimesh patel stand comedy,4,Comedy
DRAFT KINGS DEAL | Nimesh Patel | Stand Up Comedy,draft kings deal nimesh patel stand comedy,4,Comedy
ENDING SANTA ARGUMENT | Nimesh Patel | Stand Up Comedy,ending santa argument nimesh patel stand comedy,4,Comedy
E.R. DOCTOR IN VEGAS | Nimesh Patel | Standup Comedy,er doctor vegas nimesh patel standup comedy,4,Comedy
IS USHER WASHED UP? | Nimesh Patel | Stand Up Comedy,usher washed nimesh patel stand comedy,4,Comedy
COUNTING CARDS | Nimesh Patel | Stand Up Comedy,counting cards nimesh patel stand comedy,4,Comedy
Indian Jew Wants to Get Roasted | Nimesh Patel | Stand Up Comedy,indian jew wants get roasted nimesh patel stand comedy,4,Comedy
HECKLER GETS ROWDY | Nimesh Patel | Stand Up Comedy,heckler gets rowdy nimesh patel stand comedy,4,Comedy
CRUMPLER OR FOLDER | Nimesh Patel | Stand Up Comedy,crumpler folder nimesh patel stand comedy,4,Comedy
CUBAN REFUGEE | Nimesh Patel | Stand Up Comedy,cuban refugee nimesh patel stand comedy,4,Comedy
INDIAN FOOD | Nimesh Patel | Stand Up Comedy,indian food nimesh patel stand comedy,4,Comedy
SURROUNDED BY KIPS | Nimesh Patel | Stand Up Comedy,surrounded kips nimesh patel stand comedy,4,Comedy
WHAT IS RIZZ? | Nimesh Patel | Stand Up Comedy,rizz nimesh patel stand comedy,4,Comedy
Roasting Minneapolis | Nimesh Patel | Stand Up Comedy,roasting minneapolis nimesh patel stand comedy,4,Comedy
Honest Exteriors? | Nimesh Patel | Stand Up Comedy,honest exteriors nimesh patel stand comedy,4,Comedy
Vaguest Job Ever | Nimesh Patel | Stand Up Comedy,vaguest job ever nimesh patel stand comedy,4,Comedy
AI Writes Jokes | Nimesh Patel | Stand Up Comedy,ai writes jokes nimesh patel stand comedy,4,Comedy
Dentists Gone Wild | Nimesh Patel | Stand Up Comedy,dentists gone wild nimesh patel stand comedy,4,Comedy
Audience Member Has Attitude | Nimesh Patel | Stand Up Comedy,audience member attitude nimesh patel stand comedy,4,Comedy
Right In There? | Nimesh Patel | Stand Up Comedy,right nimesh patel stand comedy,4,Comedy
Rich Flex | Nimesh Patel | Stand Up Comedy,rich flex nimesh patel stand comedy,4,Comedy
Questioning Prison Guard | Nimesh Patel | Stand Up Comedy,questioning prison guard nimesh patel stand comedy,4,Comedy
World Cup Opinions | Nimesh Patel | Stand Up Comedy,world cup opinions nimesh patel stand comedy,4,Comedy
Indian Rapper | Nimesh Patel | Stand Up Comedy,indian rapper nimesh patel stand comedy,4,Comedy
Roasting Naples Florida | Nimesh Patel | Stand Up Comedy,roasting naples florida nimesh patel stand comedy,4,Comedy
Indianapolis Halloween Costumes | Nimesh Patel | Stand Up Comedy,indianapolis halloween costumes nimesh patel stand comedy,4,Comedy
What is Caving? | Nimesh Patel | Stand Up Comedy,caving nimesh patel stand comedy,4,Comedy
The Idaho M*rders | Nimesh Patel | Stand Up Comedy,idaho mrders nimesh patel stand comedy,4,Comedy
TRYING EXPENSIVE BOURBON | Nimesh Patel | Stand Up Comedy,trying expensive bourbon nimesh patel stand comedy,4,Comedy
ROASTING WHITE RAPPER | Nimesh Patel | Stand Up Comedy,roasting white rapper nimesh patel stand comedy,4,Comedy
Roasting Trump Supporters | Nimesh Patel | Stand Up Comedy,roasting trump supporters nimesh patel stand comedy,4,Comedy
DRAFT KINGS DEAL | Nimesh Patel | Stand Up Comedy,draft kings deal nimesh patel stand comedy,4,Comedy
NOSEY CROWD MEMBERS | Nimesh Patel | Stand Up Comedy,nosey crowd members nimesh patel stand comedy,4,Comedy
BOEING INSPECTOR | Nimesh Patel | Stand Up Comedy,boeing inspector nimesh patel stand comedy,4,Comedy
Audience Member Roasts Me | Nimesh Patel | Stand Up Comedy,audience member roasts nimesh patel stand comedy,4,Comedy
AUDIENCE GETS ROWDY | Nimesh Patel | Stand Up Comedy,audience gets rowdy nimesh patel stand comedy,4,Comedy
Ruining a First Date | Nimesh Patel | Stand Up Comedy,ruining first date nimesh patel stand comedy,4,Comedy
Talking to an Infectious Disease Doctor | Nimesh Patel | Stand Up Comedy,talking infectious disease doctor nimesh patel stand comedy,4,Comedy
