Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
BEST *ANGRY GINGE* MOMENTS! (PART 2),best angry ginge moments part 2,"[0.02636743 0.49846034 0.02636714 0.02636714 0.0263698  0.23785977
 0.02636894 0.02636774 0.02636714 0.02636995 0.02636714 0.02636746]",5,shorts_how_sidemen
BEST *ANGRY GINGE* MOMENTS!,best angry ginge moments,"[0.03123215 0.03123243 0.03123182 0.03123182 0.03123475 0.38371165
 0.03123367 0.0312325  0.03123182 0.30396344 0.03123182 0.03123211]",5,shorts_how_sidemen
CLIPS THAT MADE *STEPHEN TRIES* FAMOUS,clips made stephen tries famous,"[0.02419524 0.02419524 0.02419524 0.02419524 0.02419524 0.73385238
 0.02419524 0.02419524 0.02419524 0.02419524 0.02419524 0.02419524]",5,shorts_how_sidemen
Learn How To Use iMovie In 5 Minutes,learn how use imovie 5 minutes,"[0.02623803 0.02623803 0.02623808 0.02623805 0.02623803 0.02623803
 0.02623803 0.02623805 0.71137999 0.02623803 0.02623958 0.02623806]",5,shorts_how_sidemen
Viewed I MET ROBBIE SAEED CECIL AND FLEX TODAY THEY ARE ALL SUCH NICE PEOPLE AND GAVE ME GREAT ADVICE. HOPEFULLY THEY RECOGNISE ME WHEN I AM FAMOUS AND I CAN GET SOME BIG COLLABS SOON 🙏 I ALSO MET MY FIRST EVER IRL FAN TODAY AS WELL IT WAS SO COOL. ALL PRAISE TO THE MOST HIGH. THIS IS THE ONLY START WE ARE GOING TO THE TOP SOON COME,viewed met robbie saeed cecil flex today such nice people gave me great advice hopefully recognise me am famous can get some big collabs soon also met first ever irl fan today well so cool praise most high only start going top soon come,"[0.03896187 0.58679127 0.04454752 0.01492195 0.03950592 0.0744534
 0.01492218 0.06563475 0.01492199 0.07548699 0.01492906 0.01492311]",5,shorts_how_sidemen
The Cheese Pot Scandal!,cheese pot scandal,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
BATMAN & JOKER meet for the FIRST time l Batman: Arkham Origins,batman joker meet first time l batman arkham origins,"[0.02126039 0.0212605  0.02126039 0.02126039 0.02126039 0.65627712
 0.02126052 0.02126039 0.02126092 0.02126039 0.13111816 0.02126039]",5,shorts_how_sidemen
BATMAN & JOKER meet for the FIRST time l Batman: Arkham Origins,batman joker meet first time l batman arkham origins,"[0.02126039 0.0212605  0.02126039 0.02126039 0.02126039 0.65627712
 0.02126052 0.02126039 0.02126092 0.02126039 0.13111816 0.02126039]",5,shorts_how_sidemen
Who Is Spider-Man's GREATEST Villain?,who spidermans greatest villain,"[0.03070567 0.66223752 0.03070577 0.03070567 0.03070567 0.03070567
 0.03070567 0.03070567 0.03070567 0.03070567 0.03070567 0.03070567]",5,shorts_how_sidemen
"Figma for Edu: Prototyping 101, new basics",figma edu prototyping 101 new basics,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166719
 0.04166667 0.04166746 0.54166535 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
UW INFO 490 W25 - Hearing Heroes,uw info 490 w25 hearing heroes,"[0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667]",5,shorts_how_sidemen
GOOD GOOD DECIDE OUR GOLF FORFEITS! BIG WEDGE GOLF,good good decide golf forfeits big wedge golf,"[0.02482376 0.56134957 0.02482376 0.02482376 0.19041179 0.02482376
 0.02482376 0.0248248  0.02482376 0.02482376 0.02482376 0.02482376]",5,shorts_how_sidemen
GOOD GOOD DECIDE OUR GOLF FORFEITS! BIG WEDGE GOLF,good good decide golf forfeits big wedge golf,"[0.02482376 0.56134957 0.02482376 0.02482376 0.19041179 0.02482376
 0.02482376 0.0248248  0.02482376 0.02482376 0.02482376 0.02482376]",5,shorts_how_sidemen
GOOD GOOD DECIDE OUR GOLF FORFEITS! BIG WEDGE GOLF,good good decide golf forfeits big wedge golf,"[0.02482376 0.56134957 0.02482376 0.02482376 0.19041179 0.02482376
 0.02482376 0.0248248  0.02482376 0.02482376 0.02482376 0.02482376]",5,shorts_how_sidemen
