Original_Title,Cleaned_Title,Cluster,Cluster_Name
WHY UNITED PAID $80 MILLION FOR MAGUIRE,united paid 80 million maguire,6,Housing & Real Estate
SIDEMEN ONE MILLION POUND DROP (IRL CHALLENGE EDITION),sidemen one million pound drop irl challenge edition,6,Housing & Real Estate
Climbing Abandoned NYC Skyscraper,climbing abandoned nyc skyscraper,6,Housing & Real Estate
What it feels like to climb skyscrapers - New York City,feels like climb skyscrapers york city,6,Housing & Real Estate
TOURING a FUTURISTIC New York Penthouse | NYC APARTMENT TOUR,touring futuristic york penthouse nyc apartment tour,6,Housing & Real Estate
"Mansion Tours | 🌟 Marietta, GA Mansion Tours | Touring Georgia’s Lavish Homes! 🏡 Bob Hale Realty",mansion tours marietta ga mansion tours touring georgias lavish homes bob hale realty,6,Housing & Real Estate
"Marietta, GA Home Tour | Southeast Drone",marietta ga home tour southeast drone,6,Housing & Real Estate
"Touring a $539,000 Fully Remodeled Home in Sun City MacDonald Ranch, Henderson, Nevada, 3 bed 2 bath",touring 539000 fully remodeled home sun city macdonald ranch henderson nevada 3 bed 2 bath,6,Housing & Real Estate
"Inside Gossip Girl’s $10,000,000 New York Penthouse | Exclusive Home Tour",inside gossip girls 10000000 york penthouse exclusive home tour,6,Housing & Real Estate
"Inside a $6,150,000 New York City Home With Stunning ONE WORLD TRADE CENTER Views",inside 6150000 york city home stunning one world trade center views,6,Housing & Real Estate
"132 East 65th Street #PENTHOUSE  -  Upper East Side, NYC",132 east 65th street penthouse upper east side nyc,6,Housing & Real Estate
"Inside a $20,000,000 New York Townhouse In The West Village",inside 20000000 york townhouse west village,6,Housing & Real Estate
"TOURING a Three-Bedroom SoHo Loft in UNDER 30 SECONDS! | 66 Crosby Street, #2GH | SERHANT. Tour",touring threebedroom soho loft 30 seconds 66 crosby street 2gh serhant tour,6,Housing & Real Estate
"TOURING a $12.5M SoHo NYC LOFT | 131 Mercer Street, #PHA | SERHANT. Tour",touring 125m soho nyc loft 131 mercer street pha serhant tour,6,Housing & Real Estate
Why NYC’s Grand Central is So Hard to Build Around | Walking Tour | Architectural Digest,nycs grand central hard build around walking tour architectural digest,6,Housing & Real Estate
The Secret to Good Airport Design: Aesthetic vs Efficiency | Architectural Digest,secret good airport design aesthetic efficiency architectural digest,6,Housing & Real Estate
The Secret to Good Airport Design: Aesthetic vs Efficiency | Architectural Digest,secret good airport design aesthetic efficiency architectural digest,6,Housing & Real Estate
Architect Breaks Down the Most Common Styles of College Campus | Architectural Digest,architect breaks common styles college campus architectural digest,6,Housing & Real Estate
"MANHATTAN EVENING, 5th Avenue Walking Tour 4K",manhattan evening 5th avenue walking tour,6,Housing & Real Estate
Day Drinking and Smoking Chinese Cigarettes in a Public Park at 4pm,day drinking smoking chinese cigarettes public park 4pm,6,Housing & Real Estate
Mayor Adams announces pilot program for garbage bins in NYC,mayor adams announces pilot program garbage bins nyc,6,Housing & Real Estate
$3200 NYC apartment #shorts #nyc,3200 nyc apartment nyc,6,Housing & Real Estate
The Abandoned & Dangerous Water Park in the Desert: Lake Dolores/Rock-A-Hoola | Expedition Extinct,abandoned dangerous water park desert lake doloresrockahoola expedition extinct,6,Housing & Real Estate
"TOURING an EXQUISITE SOHO NYC LOFT w/ Ryan Serhant! | 60 Greene Street, #4 | SERHANT. Tour",touring exquisite soho nyc loft w ryan serhant 60 greene street 4 serhant tour,6,Housing & Real Estate
"TOURING a LAVISH Chelsea NYC Penthouse w Ryan Serhant | 527 W 27th St, PHA | SERHANT. Signature Tour",touring lavish chelsea nyc penthouse w ryan serhant 527 w 27th st pha serhant signature tour,6,Housing & Real Estate
Flaws Exposed: Enes Yilmazer 432 Park Ave Japanese Penthouse Tour,flaws exposed enes yilmazer 432 park ave japanese penthouse tour,6,Housing & Real Estate
Flaws Exposed: Enes Yilmazer 432 Park Ave Japanese Penthouse Tour,flaws exposed enes yilmazer 432 park ave japanese penthouse tour,6,Housing & Real Estate
How The Upper West Side Revolutionized NYC Apartments | Walking Tour | Architectural Digest,how upper west side revolutionized nyc apartments walking tour architectural digest,6,Housing & Real Estate
Flaws Exposed: Steinway Tower Penthouse Tour by Erik Conover,flaws exposed steinway tower penthouse tour erik conover,6,Housing & Real Estate
UW Alpha Sigma Phi House Tour,uw alpha sigma phi house tour,6,Housing & Real Estate
PHI KAPPA SIGMA HOUSE TOUR 2020,phi kappa sigma house tour 2020,6,Housing & Real Estate
NYC Apartment Hunting | Touring 8 apartments w/ prices,nyc apartment hunting touring 8 apartments w prices,6,Housing & Real Estate
Apartment Hunting in NYC in 2023 *with prices*,apartment hunting nyc 2023 prices,6,Housing & Real Estate
I robbed the biggest BANK in New York..,robbed biggest bank york,6,Housing & Real Estate
My NYC Apartment Tour: Luxury Penthouse in Manhattan,nyc apartment tour luxury penthouse manhattan,6,Housing & Real Estate
michael's garage tour,michaels garage tour,6,Housing & Real Estate
Drew Barrymore Explores My $6500 Nyc Apartment,drew barrymore explores 6500 nyc apartment,6,Housing & Real Estate
Central Park One Bedroom #nyc,central park one bedroom nyc,6,Housing & Real Estate
Architect Breaks Down 5 of the Most Common New York Apartments | Architectural Digest,architect breaks 5 common york apartments architectural digest,6,Housing & Real Estate
I robbed the biggest BANK in New York..,robbed biggest bank york,6,Housing & Real Estate
Why NYC’s Grand Central is So Hard to Build Around | Walking Tour | Architectural Digest,nycs grand central hard build around walking tour architectural digest,6,Housing & Real Estate
