Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
How Stephen Tries DESTROYED The World's Biggest Football Youtube Channel,how stephen tries destroyed worlds biggest football youtube channel,"[0.02113267 0.02113267 0.02113341 0.02113301 0.02113267 0.38423064
 0.16404769 0.2615224  0.02113576 0.02113267 0.02113336 0.02113305]",6,league_premier_sports
Brighton v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 3/8/2025 | NBC Sports,brighton v fulham premier league highlights 382025 nbc sports,"[0.02101114 0.02101114 0.02101114 0.02101137 0.02101114 0.02101114
 0.02101114 0.76887722 0.02101114 0.02101114 0.02101114 0.02101114]",6,league_premier_sports
When SONIC and SHADOW ran a Dragon Ball Z level FADE,sonic shadow ran dragon ball z level fade,"[0.03453464 0.03453506 0.03453464 0.03453464 0.03453464 0.03453464
 0.03453464 0.6201185  0.03453464 0.03453464 0.03453464 0.03453464]",6,league_premier_sports
How Things Are Actually Made,how things actually made,"[0.02805516 0.02805516 0.02805698 0.028056   0.02805516 0.39309698
 0.02805516 0.32633238 0.02806891 0.02805516 0.02805686 0.0280561 ]",6,league_premier_sports
Logits and Optimization | Class 4 | UW ECON484: Econometrics and Data Science,logits optimization class 4 uw econ484 econometrics data science,"[0.03053216 0.23416251 0.03053216 0.03053216 0.03053216 0.03053216
 0.03053216 0.46051594 0.03053216 0.03053216 0.03053216 0.03053216]",6,league_premier_sports
How Deep is the Ocean?,how deep ocean,"[0.03122757 0.03122757 0.0312284  0.03122795 0.03122757 0.03122757
 0.03122757 0.65649037 0.03123151 0.03122757 0.03122834 0.031228  ]",6,league_premier_sports
Spider-Man 2 - Black Suit Peter Most Evil and Badass Moments,spiderman 2 black suit peter most evil badass moments,"[0.02328974 0.02328992 0.02328973 0.02328966 0.02329028 0.02328994
 0.22507786 0.45818865 0.02328966 0.02328992 0.02328966 0.10712499]",6,league_premier_sports
When LOCKDOWN cooked the AUTOBOTS and TREATED them like a 9-5,lockdown cooked autobots treated like 95,"[0.03473064 0.0347273  0.0347273  0.0347273  0.03473576 0.0347273
 0.0347273  0.61798792 0.0347273  0.0347273  0.0347273  0.0347273 ]",6,league_premier_sports
Race Highlights | 2024 Monaco Grand Prix,race highlights 2024 monaco grand prix,"[0.02818007 0.02818007 0.02818007 0.02818166 0.02818007 0.02818007
 0.19614654 0.32012217 0.02818007 0.02818007 0.02818007 0.2301091 ]",6,league_premier_sports
Horror Movies I Could EASILY Survive,horror movies could easily survive,"[0.0278209  0.0278209  0.0278209  0.0278209  0.0278209  0.18134661
 0.0278209  0.54044439 0.0278209  0.0278209  0.0278209  0.0278209 ]",6,league_premier_sports
When SPIDER-MAN & HARRY ran the FADE all across NEW YORK over MJ,spiderman harry ran fade across new york over mj,"[0.0975922  0.0219459  0.02194623 0.0219459  0.02194772 0.021946
 0.10370896 0.60118288 0.02194653 0.0219459  0.0219459  0.0219459 ]",6,league_premier_sports
100 SHOTS VS A PROFESSIONAL GOALKEEPER!!,100 shots vs professional goalkeeper,"[0.0262238  0.02622182 0.02622181 0.02622312 0.02622182 0.0262217
 0.02622221 0.71155677 0.0262217  0.0262217  0.02622183 0.0262217 ]",6,league_premier_sports
Never betray me | Suits,never betray me suits,"[0.03052203 0.03052203 0.03052203 0.24488531 0.03052203 0.03052203
 0.03052203 0.4498939  0.03052203 0.03052203 0.03052203 0.03052253]",6,league_premier_sports
