Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Coldest SIDEMEN Moments,coldest sidemen moments,"[0.0316731  0.03167332 0.03167332 0.03167278 0.03167494 0.03167323
 0.65159205 0.03167312 0.03167278 0.03167394 0.03167447 0.03167294]",7,football_vs_most
When Spiderman had Venom PRAYING on his DOWNFALL,spiderman had venom praying downfall,"[0.24773073 0.03061114 0.03061121 0.03061114 0.03061114 0.03061114
 0.44615779 0.03061114 0.03061114 0.03061114 0.03061114 0.03061114]",7,football_vs_most
ISHOWSPEED: THE WORST FOOTBALL PLAYER OF ALL TIME,ishowspeed worst football player time,"[0.02594002 0.02594038 0.02594002 0.02594002 0.02594002 0.02594024
 0.71465612 0.02594002 0.02594275 0.02594002 0.02594037 0.02594002]",7,football_vs_most
MOST EXPENSIVE MISTAKES IN HISTORY!,most expensive mistakes history,"[0.02600958 0.02600964 0.02600958 0.02600958 0.02600958 0.02600963
 0.71389447 0.02600958 0.02600958 0.02600958 0.02600958 0.02600958]",7,football_vs_most
What Would Happen If The Sun Went Out For 24 hours,would happen if sun went out 24 hours,"[0.02187796 0.2999859  0.19046404 0.02187796 0.02187965 0.02187796
 0.31264635 0.02187813 0.02187796 0.02187815 0.02187796 0.02187796]",7,football_vs_most
SIDEMEN SURVIVE 24 HOURS IN UK’S MOST HAUNTED HOUSE,sidemen survive 24 hours uks most haunted house,"[0.02329696 0.02329705 0.02329705 0.02329693 0.02329704 0.02329701
 0.74373257 0.02329693 0.02329693 0.0232972  0.02329736 0.02329696]",7,football_vs_most
THE BEST SPIDER-MAN SUITS EVER,best spiderman suits ever,"[0.02791151 0.02791191 0.02791156 0.21655607 0.02791177 0.02791158
 0.5043268  0.02791153 0.02791151 0.02791255 0.02791151 0.02791169]",7,football_vs_most
DESTROYING Diamonds With VENOM (INSANE OT HOLD) | Road to Grandmaster - Marvel Rivals,destroying diamonds venom insane ot hold road grandmaster marvel rivals,"[0.02417526 0.02417526 0.02417526 0.02417526 0.37271696 0.02417526
 0.38553043 0.02417526 0.02417526 0.02417526 0.02417526 0.02417526]",7,football_vs_most
Petscop - The Dark Story Hidden in a Haunted Game,petscop dark story hidden haunted game,"[0.02598656 0.02598656 0.02598656 0.17384441 0.02598656 0.02598656
 0.56628918 0.02598656 0.02598672 0.02598656 0.02598719 0.02598656]",7,football_vs_most
10 Biggest Lies Ever Told In History!,10 biggest lies ever told history,"[0.18050542 0.02784096 0.02784065 0.02784065 0.02784065 0.22100652
 0.34792192 0.02784065 0.02784065 0.02784065 0.02784065 0.02784065]",7,football_vs_most
Funniest Football Charity Match Moments Ever,funniest football charity match moments ever,"[0.02328854 0.0232886  0.0232885  0.0232885  0.13630301 0.02328858
 0.63081155 0.02328859 0.0232885  0.02328864 0.0232885  0.0232885 ]",7,football_vs_most
BEST *CHEAP vs EXPENSIVE* MOMENTS!,best cheap vs expensive moments,"[0.02843928 0.02843943 0.02843917 0.02844004 0.02844046 0.02843925
 0.68716462 0.02843947 0.0284391  0.02844076 0.02843918 0.02843923]",7,football_vs_most
MOST *UNDERRATED MORESIDEMEN* MOMENTS!,most underrated moresidemen moments,"[0.03125867 0.03125877 0.03125851 0.03125851 0.0312597  0.03125882
 0.65615364 0.03125882 0.03125851 0.03125902 0.03125851 0.03125851]",7,football_vs_most
3 HOURS OF SIDEMEN QUIPLASH!,3 hours sidemen quiplash,"[0.03532399 0.03532442 0.03532469 0.03532372 0.03532462 0.03532414
 0.61143087 0.03532372 0.03532372 0.03532537 0.03532676 0.03532401]",7,football_vs_most
SIDEMEN FORFEIT BLIND DATE,sidemen forfeit blind date,"[0.02835808 0.02835826 0.02835837 0.02835797 0.02835834 0.02835814
 0.4960552  0.02835797 0.02835797 0.02835842 0.02835923 0.22036206]",7,football_vs_most
SIDEMEN SPEND $1 FOR EVERY CALORIE YOU EAT FOR 24 HOURS,sidemen spend 1 every calorie eat 24 hours,"[0.02461625 0.02461635 0.02461641 0.02461619 0.02461639 0.02461628
 0.46270781 0.02461619 0.12179342 0.19395159 0.02461687 0.02461625]",7,football_vs_most
"SIDEMEN $500,000 vs $500 MOBILE HOME ROAD TRIP",sidemen 500000 vs 500 mobile home road trip,"[0.02644923 0.02644944 0.02644954 0.0264505  0.25997369 0.0264492
 0.33089117 0.02644922 0.171089   0.02644947 0.0264504  0.02644915]",7,football_vs_most
MOST EXTREME FAILS!,most extreme fails,"[0.0307752  0.03077542 0.0307752  0.0307752  0.0307752  0.03077539
 0.4237873  0.2684603  0.0307752  0.0307752  0.0307752  0.0307752 ]",7,football_vs_most
