Original_Title,Cleaned_Title,Cluster,Cluster_Name
Brighton v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 3/8/2025 | NBC Sports,brighton v fulham premier league highlights 382025 nbc sports,8,Sports
ARSENAL: BOTTLED IT AGAIN?!,arsenal bottled,8,Sports
Newcastle United v. Nottingham Forest | PREMIER LEAGUE HIGHLIGHTS | 2/23/2025 | NBC Sports,newcastle united v nottingham forest premier league highlights 2232025 nbc sports,8,Sports
Arsenal v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 2/22/2025 | NBC Sports,arsenal v west ham united premier league highlights 2222025 nbc sports,8,Sports
Everton v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 2/22/2025 | NBC Sports,everton v manchester united premier league highlights 2222025 nbc sports,8,Sports
ARSENAL ARE A DISGRACE...,arsenal disgrace,8,Sports
Brighton v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 2/14/2025 | NBC Sports,brighton v chelsea premier league highlights 2142025 nbc sports,8,Sports
Demarai Gray stoppage-time stunner gets Everton in front | Premier League | NBC Sports,demarai gray stoppagetime stunner gets everton front premier league nbc sports,8,Sports
Everton v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 2/12/2025 | NBC Sports,everton v liverpool premier league highlights 2122025 nbc sports,8,Sports
Joe Willock gives Newcastle United liftoff against Chelsea | Premier League | NBC Sports,joe willock gives newcastle united liftoff chelsea premier league nbc sports,8,Sports
ARSENAL ARE A DISGRACE...,arsenal disgrace,8,Sports
NEWCASTLE 2-0 ARSENAL LIVE WATCHALONG,newcastle 20 arsenal live watchalong,8,Sports
ARSENAL HUMBLE MAN CITY 🤯 | HATEWATCHING,arsenal humble man city hatewatching,8,Sports
Manchester United v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 2/2/2025 | NBC Sports,manchester united v crystal palace premier league highlights 222025 nbc sports,8,Sports
Nottingham Forest v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 2/1/2025 | NBC Sports,nottingham forest v brighton premier league highlights 212025 nbc sports,8,Sports
Nottingham Forest v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 2/1/2025 | NBC Sports,nottingham forest v brighton premier league highlights 212025 nbc sports,8,Sports
ARSENAL WILL BEAT MAN CITY!? 🤯 | Biased Premier League Predictions Gameweek 24,arsenal beat man city biased premier league predictions gameweek 24,8,Sports
EVERY Time TOTTENHAM Have BOTTLED It,every time tottenham bottled,8,Sports
Tottenham Hotspur v. Leicester City | PREMIER LEAGUE HIGHLIGHTS | 1/26/2025 | NBC Sports,tottenham hotspur v leicester city premier league highlights 1262025 nbc sports,8,Sports
Chelsea v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 1/20/2025 | NBC Sports,chelsea v wolves premier league highlights 1202025 nbc sports,8,Sports
Manchester United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 1/19/2025 | NBC Sports,manchester united v brighton premier league highlights 1192025 nbc sports,8,Sports
Manchester United v. Southampton | PREMIER LEAGUE HIGHLIGHTS | 1/16/2025 | NBC Sports,manchester united v southampton premier league highlights 1162025 nbc sports,8,Sports
Aston Villa v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 12/30/2024 | NBC Sports,aston villa v brighton premier league highlights 12302024 nbc sports,8,Sports
Manchester United v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 12/30/2024 | NBC Sports,manchester united v newcastle united premier league highlights 12302024 nbc sports,8,Sports
Ipswich Town v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 12/30/2024 | NBC Sports,ipswich town v chelsea premier league highlights 12302024 nbc sports,8,Sports
WHY ARSENAL WILL WIN THE PREMIER LEAGUE TITLE,arsenal win premier league title,8,Sports
Chelsea Are Surprising Everybody This Season,chelsea surprising everybody season,8,Sports
EVERY Time TOTTENHAM Have BOTTLED It,every time tottenham bottled,8,Sports
Nottingham Forest v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 12/14/2024 | NBC Sports,nottingham forest v aston villa premier league highlights 12142024 nbc sports,8,Sports
Newcastle United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 12/4/2024 | NBC Sports,newcastle united v liverpool premier league highlights 1242024 nbc sports,8,Sports
Maybe I Was Wrong About Chelsea...,maybe wrong chelsea,8,Sports
Tottenham Hotspur v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 12/8/2024 | NBC Sports,tottenham hotspur v chelsea premier league highlights 1282024 nbc sports,8,Sports
Leicester City v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 10/16/2021 | NBC Sports,leicester city v manchester united premier league highlights 10162021 nbc sports,8,Sports
Leicester City v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 12/8/2024 | NBC Sports,leicester city v brighton premier league highlights 1282024 nbc sports,8,Sports
Fulham v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 12/8/2024 | NBC Sports,fulham v arsenal premier league highlights 1282024 nbc sports,8,Sports
Crystal Palace v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 9/21/2024 | NBC Sports,crystal palace v manchester united premier league highlights 9212024 nbc sports,8,Sports
Newcastle United v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 9/1/2024 | NBC Sports,newcastle united v tottenham hotspur premier league highlights 912024 nbc sports,8,Sports
Everton v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/31/2024 | NBC Sports,everton v bournemouth premier league highlights 8312024 nbc sports,8,Sports
Bournemouth v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 8/25/2024 | NBC Sports,bournemouth v newcastle united premier league highlights 8252024 nbc sports,8,Sports
