Original_Title,Cleaned_Title,Cluster,Cluster_Name
"Becky G, El Alfa - FULANITO (Official Video)",becky g el alfa fulanito,9,Emir
I met Karol G and Becky G wow #karolg #beckyg #tqg #beckygmamiii @KarolG @beckyg,met karol g becky g wow karolg beckyg tqg beckygmamiii karolg beckyg,9,Emir
Daddy Yankee x El Alfa x Lil Jon - Bombón | Coreo por Emir Abdul Gani y Juli Berois 🐐,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
Chris Makes Becky Spill The BEANS 😭 #seeitoff #podcast,chris makes becky spill beans seeitoff podcast,9,Emir
Elz Gets Becky Her First Magnum 😅 #seeitoff #podcast,elz gets becky first magnum seeitoff podcast,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
"Becky G, El Alfa - Fulanito | Coreo por Emir Abdul Gani 🚗",becky g el alfa fulanito coreo por emir abdul gani,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
Daddy Yankee x El Alfa x Lil Jon - Bombón | Coreo por Emir Abdul Gani y Juli Berois 🐐,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
BOLA REBOLA   Tropkillaz J Balvin Anitta ft MC Zaac Choreography by Emir Abdul Gani,bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
"BOLA REBOLA - Tropkillaz, J Balvin, Anitta ft. MC Zaac | Choreography by Emir Abdul Gani",bola rebola tropkillaz j balvin anitta mc zaac choreography emir abdul gani,9,Emir
"CONTRA LA PARED - Sean Paul, J Balvin | Choreography by Emir Abdul Gani",contra la pared sean paul j balvin choreography emir abdul gani,9,Emir
Daddy Yankee x El Alfa x Lil Jon - Bombón | Coreo por Emir Abdul Gani y Juli Berois 🐐,daddy yankee x el alfa x lil jon bombn coreo por emir abdul gani juli berois,9,Emir
Daddy Yankee - Rumbatón | Coreo por Emir Abdul Gani 👰,daddy yankee rumbatn coreo por emir abdul gani,9,Emir
